tema,fonte,tipo,licenca,resolucao_espacial,resolucao_temporal,url_api,script_responsavel,data_acesso,observacao
limite_municipal,IBGE (malhas territoriais),vetor,dados abertos,municipal,estático (ano de referência),https://servicodados.ibge.gov.br/api/docs/malhas,scripts/download/vetor_ibge.py,,referência única para recorte de todas as camadas
uso_cobertura_solo,MapBiomas,raster,dados abertos (uso não comercial),30m (nativa; ~27m após reprojeção UTM),série temporal a cada 5 anos (1985-2020) + ano mais recente (2024),https://storage.googleapis.com/mapbiomas-public/initiatives/brasil/collection_10/lulc/coverage/brazil_coverage_<ano>.tif,scripts/download/uso-solo_mapbiomas.py,2026-07-28,"Coleção 10 (site chama de 'Coleção 10.1', série completa 1985-2024 disponível, mas por padrão o script baixa só 1985/1990/1995/2000/2005/2010/2015/2020/2024 — parametrizável via --anos); raster nacional é o único disponível via bucket público sem autenticação (não há recorte por bioma/UF pronto para download direto; recorte oficial exige Google Earth Engine com autenticação) — script lê apenas a janela da área de estudo via streaming /vsicurl/ (GDAL HTTP range requests) por ano, sem baixar o raster nacional inteiro (~700-800MB) em nenhum momento; 11-12 classes presentes na área de estudo por ano (predominância de Formação Campestre; Área Urbanizada cresceu de ~12,8 km² em 1985 para ~23,6 km² em 2024); legenda de classes hardcoded a partir do CSV oficial da Coleção 10; tabela resumo por ano x classe em data/processed/uso-solo_mapbiomas_serie-temporal_area-por-classe.csv"
clima_meteorologia,INMET,tabular/estação,dados abertos,pontual (estação),horário/diário,https://portal.inmet.gov.br,,,avaliar estações próximas a Uruguaiana
mdt_terreno,ANADEM (HGE/IPH-UFRGS + ANA),raster,MIT (código); dado aberto,"30m (nativa; ~27,4m após reprojeção UTM)","estático (v1.0, 2024-02-20)",https://metadados.snirh.gov.br/files/anadem_v1_tiles/anadem_v1_<tile-mgrs>.tif,scripts/download/terreno_anadem.py,2026-08-07,"tile MGRS necessário identificado automaticamente via grade oficial (https://www.ufrgs.br/hge/wp-content/uploads/2024/04/anadem_mgrs.zip) cruzada com a área de estudo estendida — para Uruguaiana, 1 único tile (21J) cobre toda a área (buffer 18km), sem necessidade de mosaico; leitura em streaming via GDAL /vsicurl/ do GeoTIFF COG remoto (~1,5GB), nunca baixado por inteiro; elevação da área municipal: 34,5-230,8m (amplitude 196,3m, planície/pampa — amplitude pequena confirmada, usada para calibrar as classes hipsométricas); produtos derivados (declividade em graus e %, hillshade, hipsometria de 20m) em scripts/processamento/terreno_derivados.py, recortados pela área de estudo municipal (não a estendida)"
bacias_hidrograficas,ANA — Base Hidrográfica Ottocodificada Multiescalas 6 (BHO 6),vetor,dados abertos (acesso livre),"ottobacias (área de contribuição), níveis Otto Pfafstetter 1 a 7 (7 = mais fino)","estático (versão 6.2.4, publicada 2022-10-20)",https://metadados.snirh.gov.br/geonetwork/srv/api/records/32e309da-a8c1-443f-90ac-0cd79ce6a33d,scripts/download/hidrologia_bho.py,2026-08-07,"contagens de ottobacias na área de busca (buffer 18km sobre o limite municipal — config/area_estudo_bacias.geojson): nível1=1, nível2=1, nível3=5, nível4=18, nível5=95, nível6=482, nível7=2083; um GeoPackage por nível (bacias-hidrograficas_ana-bho_nivel{1..7}_vetorial.gpkg); arquivos nacionais por nível variam de ~54MB (nível 1) a ~5,6GB (nível 7) — lidos via streaming remoto com filtro espacial (GDAL /vsicurl/ + ogr2ogr -spat sobre o índice R-tree do GeoPackage), nunca baixados por inteiro; ATENÇÃO: a BHO cobre só o território brasileiro — a porção argentina da bacia do rio Uruguai (Uruguaiana faz fronteira com a Argentina em Paso de los Libres, pelo próprio rio) não está representada; complemento transfronteiriço futuro (não baixado): HydroBASINS/HydroSHEDS (WWF), https://www.hydrosheds.org/products/hydrobasins"
cotas_inundacao,SGB (Serviço Geológico do Brasil),vetor,dados abertos,seção/estação Uruguaiana,estático,https://geoportal.sgb.gov.br/server/rest/services/hidrologia/BACIA_DO_URUGUAI_URUGUAIANA/MapServer,scripts/download/hidrologia_sgb.py,2026-07-27,"4 camadas de manchas de inundação do rio Uruguai (cotas 833/952/1205/1252 cm; TR 1.3/1.9/9.2/13.4 anos); específico da estação de Uruguaiana, não parametrizável por código IBGE"
malha_viaria,OpenStreetMap (via osmnx/Overpass API),vetor,ODbL,variável (mapeamento colaborativo),contínuo (dado vivo),https://overpass-api.de/api/interpreter,scripts/download/infraestrutura_osm.py,2026-07-27,rede viária network_type=drive; 7609 trechos / 3827.9 km na área de estudo; cobertura depende do mapeamento OSM local
saude_estabelecimentos_osm,OpenStreetMap (via osmnx/Overpass API),vetor,ODbL,pontual/predial (mapeamento colaborativo),contínuo (dado vivo),https://overpass-api.de/api/interpreter,scripts/download/infraestrutura_osm.py,2026-07-27,"amenity in [hospital/clinic/doctors/pharmacy] ou healthcare=*; 7 feições na área de estudo (2026-07-27) — complementar ao CNES/DATASUS, não substitui cadastro oficial"
saude_estabelecimentos_cnes,CNES/DATASUS (endpoint interno não documentado do site cnes.datasus.gov.br),vetor,"dados abertos (cadastro público, sem licença explícita)",pontual (estabelecimento),atualização contínua (snapshot no acesso),https://cnes.datasus.gov.br/services/estabelecimentos,scripts/download/saude_cnes.py,2026-07-27,"cadastro oficial de estabelecimentos ativos; 484 na lista do município/ 449 com coordenadas válidas/ 446 na área de estudo (2026-07-27); requer header Referer (endpoint não é API pública documentada, sujeito a mudanças); cobertura bem maior que o OSM (446 vs 7) por ser cadastro administrativo obrigatório"
clima_inmet,INMET (estações automáticas + portal de dados históricos),vetor (estações) + tabular (série horária),dados abertos,"pontual (estação A809, Uruguaiana)",horária,https://portal.inmet.gov.br/dadoshistoricos,scripts/download/clima_inmet.py,2026-07-27,"estação A809 (Uruguaiana) selecionada por estar no próprio município; série 2006-09-28 a 2025-12-31 (168840 registros horários em UTC); dados baixados via HTTP Range dos zips anuais do portal (sem token) após confirmar que o endpoint apitempo.inmet.gov.br sem token está desativado (204) e a versão com dados ao vivo exige reCAPTCHA; radiação global com ~51% de faltantes (sensor mais recente), demais variáveis entre 6% e 13,4%"
